description,image,title
"Alors que le vote sur le « Brexit » a été reporté, la forme que prendront les échanges universitaires franco-britanniques est encore incertaine. A moyen terme, des effets dissuasifs sur les flux d’étudiants sont redoutés.",https://img.lemde.fr/2018/12/07/2/0/6000/4000/147/97/60/0/a9dc229_mJ3E2PTBARh5fJNFfjCgn3kH.jpg,Les échanges universitaires franco-britanniques dans l’expectative
"Devenue la cible du mouvement, la chaîne a donné pour consigne à ses journalistes de ne plus utiliser la bonnette bleue siglée de son logo.",https://img.lemde.fr/2018/12/12/0/2/3475/2315/147/97/60/0/1f6cdab_2LZWfMiS3ZH-zJ-As3y9AiBI.jpg,"BFM-TV, symbole de la défiance des « gilets jaunes » envers les médias"
"Infatigable militante des droits de l’homme, Lioudmila Alexeïeva est morte de 8 décembre, à 91 ans.",https://img.lemde.fr/2018/12/11/0/0/3000/2000/147/97/60/0/e18a5fd_exnDKEF2XK2fEdJG7BjBT3lZ.jpg,"Mort de Lioudmila Alexeïeva, dissidente soviétique"
Plusieurs centaines de sites ont été floutés par le moteur de recherche russe en Israël et en Turquie. Ce qui permet de les localiser.,https://img.lemde.fr/2018/12/11/0/135/1366/911/147/97/60/0/a10b09a_FxyzzxdF3AAq1vfKuCvezHTA.JPG,"En floutant ses images satellites, le moteur de recherche Yandex révèle plus que ce qu’il veut cacher"
Le rejet des pourvois de deux associations et d’un syndicat par la juridiction suprême compromet la tenue du procès pénal réclamé depuis 1996 par les victimes.,https://img.lemde.fr/2018/12/11/0/2/2331/1554/147/97/60/0/f42d8ac_SS5ggyrkbs0lHM1QHLcCy_g5.jpg,Amiante : la Cour de cassation annule les mises en examen pour homicides et blessures involontaires
Devenir ami dépendrait du temps passé ensemble… ou peut-être d’un autre ingrédient peu avouable.,https://img.lemde.fr/2018/12/07/92/0/3000/2000/147/97/60/0/2d957f8_t4N0LEF-pKteUD3BS2b97Sb9.jpg,C’est quoi la recette de l’amitié ?
"Deux familles, accompagnées par un programme quasi unique en France proposé au CHU de Montpellier, racontent comment elles ont perdu le contrôle face au comportement agressif de leur enfant.",https://img.lemde.fr/2015/04/27/27/0/640/426/147/97/60/0/b360c60_ill_3447013_cd3d_enfant.jpg,Enfants tyrans : « Nous nous sommes résolus à une séparation temporaire »
"« Pour sortir de cette situation, il ne faut pas supprimer les grandes écoles, mais en ouvrir beaucoup plus le recrutement. Il faut professionnaliser les concours – par l’apprentissage, les stages, le tutorat… », analyse pour le blog « Focus Campus » Luc Rouban auteur de l’essai « Le paradoxe du macronisme » (Presses de Sciences Po, 2018).",https://img.lemde.fr/2018/12/05/1/0/3500/2333/147/97/60/0/59d8ef2_PAR53_FRANCE-PROTESTS-_1205_11.JPG,"Les « gilets jaunes », le système éducatif et la fracture sociale"
"Bryan, 20 ans, étudiant à l’université de Paris Descartes, s’est investi dans la vie associative jusqu’à en oublier ses études. Aujourd’hui, il suit dans son université une formation d’un an pour des jeunes qui souhaitent trouver leur voie.",https://img.lemde.fr/2018/12/10/295/0/3456/2294/147/97/60/0/fc55cec_2EtN5gTjScaL7nC0i3DvRV0I.jpg,"« Après la rigueur de mon lycée militaire, j’ai trop profité de la liberté de la fac »"
"Faute d’un plan de soutien sérieux, l’augmentation des droits d’inscription pour les étudiants extracommunautaires, risque d’évincer des campus les étudiants les plus modestes, mais aussi d’entraîner une hausse générale de ces droits, estime, dans une tribune au « Monde », Jean-Yves Mérindol, professeur.",https://img.lemde.fr/2015/11/19/0/0/1890/1260/147/97/60/0/8cc7f2a_25597-m7wovy.jpg,Etudiants étrangers : « L’équité fiscale n’est qu’un prétexte »
"En France, l’apprentissage des compétences « douces » (créativité, curiosité, esprit critique, empathie, sens du dialogue...) est peu valorisé dans les programmes scolaires et les cursus d’études supérieures. Alors que ces « soft skills » guident leur conception dans un nombre grandissant de pays, raconte Eric Chabonnier, expert éducation à l’OCDE.",https://img.lemde.fr/2018/07/11/35/0/2209/1472/147/97/60/0/4dd77ef_13439-1pqmw7w.pa7l.jpeg,La France est-elle en retard sur l’intégration des compétences « douces » dans les études ?
"Une cinquantaine de jeunes ont pénétré de force dans l’établissement, le 6 décembre, pour mettre à sac sa cafétéria tout juste rénovée.",https://img.lemde.fr/2018/12/10/0/121/1315/877/147/97/60/0/c987b13_SbJ4Ji-37kwqsz8GG9ky3elj.PNG,Scène de pillage au lycée Schweitzer du Raincy
"Rester ouvert ? Fermer ses portes ? Un peu partout dans les établissements perturbés, à la veille d’un « mardi noir », les équipes cherchent à faire face à la violence.",https://img.lemde.fr/2018/12/06/0/0/6000/4000/147/97/60/0/5948dc9_qi4mWmh8iiWyE3BuDwBDJOZ-.jpg,"Face aux blocages qui perdurent, les lycées s’organisent"
"A Remiremont, dans les Vosges, le lycée Camile-Claudel propose des formations en gravure, en taille de pierre et en sculpture à des bacheliers comme à des adultes en reconversion. Reportage parmi ces étudiants tombés amoureux de la pierre.",https://img.lemde.fr/2018/11/27/16/0/468/312/147/97/60/0/caceb55_8ku00-95EOUt6mUYIYFFjsoF.jpg,"Tailleur de pierre, à la croisée des chemins entre art et artisanat"
"C’est la question que se pose Olivier Rollot, qui revient sur son blog sur le modèle français, et sur les trajectoires de Dauphine, Sciences Po et des écoles d’ingénieurs - établissements qui ont largement augmenté leurs frais de scolarité, accentuant l’écart avec les universités.",https://img.lemde.fr/2018/03/09/0/304/1740/1160/147/97/60/0/dc8673e_17908-1ct79j9.uc1n.jpg,L’augmentation des droits d’inscription à l’université est-elle évitable ?
"En France, les frais de scolarité sont relativement bas, commente Eric Charbonnier, expert éducation à l’OCDE. En revanche, la part de jeunes qui touchent des bourses est moins élevée que dans d’autres pays.",https://img.lemde.fr/2016/10/12/95/0/2272/1514/147/97/60/0/4b79309_12705-16fchsp.JPG,Frais de scolarité à l’université : comment se situe la France ?
Les formations spécifiques à l’écriture théâtrale émergent timidement. Inventer le répertoire de demain est l’ambition de ces jeunes auteurs.,https://img.lemde.fr/2018/11/21/8/38/433/288/147/97/60/0/25420e2_c0EBv_ruSPTlksyFKyvXWebS.jpg,"Auteur dramatique, un métier en résonance avec son temps"
